property_title,postal_code,monthly_price,weekly_price,bedroom,baths,tenants,location,deposit,rent,bills_included,students only,student_friendly,families_allowed,pets_allowed,smokers_allowed,available_from,minimum_tenancy,garden,parking,fireplace,furnishing,url,epc_rating,description
"3 Bed Maisonette, Oasis Court, E1",E1,"£3,900.00",£900.00,3,3,3,London,"£4,500.00","£3,900.00",Yes,-,Yes,Yes,No,No,"09 November, 2024",12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/3-bed-maisonette-oasis-court-e1/1716876,,"Gorgeous, unique and surprisingly spacious property over 2 floors within an 8 minute walk to the central line-Bethnal Green, Whitechapel station(Queen Elizabeth line , District line )- this would suite student/ families and hard working Londoners- Canary Wharf is one stop away!15 min walk to Liverpool street . Easy access to supermarkets, hospitals and also a playground if you need a this.The property has its own garden. Trendy shoreditch is a 15 min walk away withe easy access to whitechapel market and also spitalfields market.Situated on the boarders of Whitechapel and Shoreditch the property is set back from the main street making it quieter than expected. Boasting 1182sqft (109sqm) of living space, a patio garden and a balcony off the main bedroom this is a unique property."
"2 Bed Flat, Dron House, E1",E1,"£2,500.00",£576.92,2,1,2,London,"£2,500.00","£2,500.00",No,-,Yes,Yes,Yes,Yes,Today,12 Months,No,No,No,At tenant choice,http://openrent.co.uk/property-to-rent/london/2-bed-flat-dron-house-e1/2209447,,"Charming 2-bedroom flat in well maintained 1920's London mansion block – newly refurbished throughout.Welcome to your new home in this elegant 1920's mansion block! This lovely two-bedroom flat has been newly refurbished to a high standard, offering a perfect blend of classic charm and modern convenience.Key Features:Spacious Living: Enjoy generous living spaces with high ceilings, large windows, and original period features, creating a bright and airy atmosphere.Modern Comfort: The property has been tastefully refurbished throughout, including a modern kitchen with new appliances and a sleek bathroom with contemporary fittings.Two Bedrooms: Two well-proportioned double bedrooms provide ample space for relaxation and storage.Prime Location: Just a 5-minute walk from Whitechapel Underground Station offering access to the Elizabeth Line, Hammersmith & City, District and Overground lines. This flat offers excellent transport links, making commuting a breeze. You'll also have easy access to a wide range of local amenities, including shops, restaurants, and parks.Don’t miss the opportunity to live in this beautifully renovated flat that offers both style and convenience. Ideal for professionals, couples, or small families.Arrange a viewing today and make this charming flat your new home!"
"3 Bed Flat, Whitechapel, E1",E1,"£4,500.00","£1,038.46",3,1,6,London,"£1,500.00","£4,500.00",No,-,Yes,Yes,No,No,Today,1 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/3-bed-flat-whitechapel-e1/2203547,,"**SHORT/LONG-TERM ACCOMMODATION FULLY FURNISHED 3 BED APARTMENT - ALL BILLS INCLUDED - PERFECT FOR CONTRACTORS/ BUSINESS TRAVELLERS/GROUPS**6 minute walk from Whitechapel Station, 3 bedroom apartment, 3x double beds.Please note the property is on 3rd floor with no lift access."
"2 Bed Flat, Raven Row, E1",E1,"£2,750.00",£634.62,2,2,2,London,"£3,173.07","£2,750.00",No,-,No,No,No,No,"28 September, 2024",24 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-raven-row-e1/2182455,,"Fully furnished 2 bedroom flat2 double bedrooms.Both bedrooms with wardrobe, bed / new mattress bed side tables / bookshelf2 bathrooms. (1 en-suite)Large living dining room. 2 sofas / coffe table / 6 seater dining table and chairsFully fitted kitchen.Hob / oven / dishwasher/ washer dryer / fridge freezerGas central heating.New double glazed noise reducing windows throughout.Flat is currently being completely redecorated throughoutNew carpets in both bedroomsSolid wood flooring in hall and living room.3 minutes from whitechapel tube stationNew photos will be added as ready."
"4 Bed Flat, Dron House, E1",E1,"£3,700.00",£853.85,4,1,5,London,"£3,700.00","£3,700.00",No,-,Yes,No,No,Yes,"22 September, 2024",6 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/4-bed-flat-dron-house-e1/1179033,,"Being a Corporation of London Building, the scale of this flat is absolutely huge!Welcome to our 4 bedroom flat situated on the 2nd floor of a small building (no lounge). 1 x bedroom is a standard double in size, then you have 2 x bedrooms which a re very large double and then you have the King Size room which is just immense in size. 1 x bathroom (wet room style). Fitted kitchen with all white goods ready to go through which you have a lovely balcony area for that outdoor space while you are still in your pyjamas.The rent we are asking is £3,700.00 for the whole property and excludes bills and utilities, If you wish to include all bills into the rent then please do let me know & we can have a quick frank discussion on it whereby both parties are happy.Within walking distance you have the famous Whitechapel Market, Sainsbury's Supermarket, Whitechapel Underground/Overground, Queen Mary University, Royal London Hospital, Tower Hamlets Town Hall amongst MANY other amenities. Just type in E1 3AA and you will find a plethora of options that will just add to your day to day lives.We are currently in the midst of renovating which will included replacement of bathroom & kitchen flooring, repainting (done already), deep clean throughout etc and we anticipate this property to be fully ready by no later than 22nd September 2024.Please do give us a shout if you wish to view this property and we will be more than happy to show you.Definitely not one to be missed so get in touch!"
"Studio Flat, Sovereign House, E1",E1,"£1,400.00",£323.08,1,1,2,London,"£1,400.00","£1,400.00",No,-,Yes,Yes,No,No,"03 October, 2024",6 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-sovereign-house-e1/2225077,,"We are proud to offer this delightful 1 bedroom studio flat in Whitechapel, just moments away from The Royal London Hospital, Queen Mary University, Whitechapel Market,and the City.Just 5 minutes walk from Bethnal Green  and White Capel Station;there are several bus routes nearby and lots of local amenities, shops, eateries,market, and the Genesis cinema.The flat has a spacious feel with a retractable small double bed, there is additional storage. The Property is suitable for single professionals or couple with no children.It was recently redecorated throughout, finished to a goodstandard with open plan living area and a separated kitchen.*** Service Charge are included in the rent ****Make an enquire and we are happy to accommodate your individual circumstances."
"2 Bed Flat, Headlam Street, E1",E1,"£2,525.00",£582.69,2,2,4,London,"£2,913.46","£2,525.00",No,-,Yes,No,No,No,"12 October, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-headlam-street-e1/2218780,,"Fantastic second floor bright and spacious apartment with balcony in a private block. Two double bedrooms. Two bathrooms (One en suite and one large bathroom with shower and bath). Fully equipped kitchen with dishwasher, washer/dryer, fridge freezer and granite worktop. Integrated electrical system that works from a smart pad with underfloor heating. Low heating bills. Light living area with balcony. Minutes from great transport connections e.g Whitechapel Station with the new Queen Elizabeth Line and Bethnal Green Station. Near all the bars, clubs and restaurants of Brick Lane and Shoreditch."
"Studio Flat, Bouchon Point, E1",E1,"£2,150.00",£496.15,1,1,1,London,"£2,480.76","£2,150.00",No,Yes,-,No,No,No,"16 September, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-bouchon-point-e1/2193135,,"Studio Flat for Rent on 15th Floor situated at popular Premium development ""The Silk District E1"" just walking distance to Whitechapel StationThe Silk District is located in the heart of Whitechapel moments from the station which offers routes into the City, West End & the Docklands via Hammersmith/City line, District line, the overground and Cross rail. only 4mins walk to White Chapel station.The City is within walking distance as are local shops, restaurants and a Sainsburys supermarket.Our 15th floor apartments is set over 47 square meters and comprises a bright and spacious open plan fully fitted kitchen, double bedroom with ample built in wardrobes and a luxury bathroom suite. There is also a large walk in utility cupboard with ample storage space.Residents living in the Silk District can enjoy facilities such as roof top gardens, cinema, gym and a dedicated 24 hour concierge.COMES FURNSIHED. PROPERTY AVAILABLE FROM 15.09.2024"
"1 Bed Flat, Cendal Crescent, E1",E1,"£2,450.00",£565.39,1,1,1,London,"£2,826.92","£2,450.00",No,-,Yes,No,No,No,"15 September, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/1-bed-flat-cendal-crescent-e1/2193091,,"ONE BEDROOM ONE BATHROOMS ON 15TH FLOOR APARTMENT FOR RENT SITUATED IN THE POPULAR PREMIUM DEVELOPMENT ""THE SILK DISTRICT"" E1.The Silk District is located in the heart of Whitechapel moments from the station which offers routes into the City, West End & the Docklands via Hammersmith/City line, District line, the overground and Cross rail. only 4mins walk to White Chapel station.The City is within walking distance as are local shops, restaurants and a Sainsburys supermarket.Our 15th floor apartments is set over 56 square meters and comprises a bright and spacious reception room with an open plan fully fitted kitchen, double bedroom with ample built in wardrobes and a luxury bathroom suite. There is also a large walk in utility cupboard with ample storage space. Both bed rooms are ensuiteResidents living in the Silk District can enjoy facilities such as roof top gardens, cinema, gym and a dedicated 24 hour concierge.COMES FURNSIHED. PROPERTY AVAILABLE FROM 15.09.2024"
"1 Bed Flat, Cendal Cresent, E1",E1,"£2,500.00",£576.92,1,1,2,London,"£2,884.61","£2,500.00",No,-,Yes,No,No,No,"19 September, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/1-bed-flat-cendal-cresent-e1/2223344,,"Brand New one-bedroom Flat with Brand New furnitures Available from 16th September.High Floor with Fantastic South ViewThis spacious one-bedroom 51SQM south and north dual facing, one-bathroom apartment located in Whitechapel, with Whitechapel underground station 3mins walk. This fully furnished apartment boasts premium house appliances, a fully-carpeted bedroom, and an open plan kitchen and a Balcony.Situated within the Silk District development, residents can enjoy a premium city living experience. The amenities include a residents-only gym, cinema, cafe, flexible working spaces, and roof terraces.Whitechapel Station conveniently offers access to four railway lines: Elizabeth Line, Hammersmith & City Line, District Line, and London Overground, making it incredibly easy to travel in any direction you need to.Close to Queen Mary University"
